Regularisation,Epoch,Time,Accuracy,Loss
SGD,1,44,0.3409,0.420665
SGD,2,38,0.4466,0.378416
SGD,3,33,0.5183,0.344998
SGD,4,36,0.5765,0.318076
SGD,5,35,0.6059,0.296043
L1,1,32,0.2923,0.424229
L1,2,34,0.4625,0.377055
L1,3,35,0.5585,0.331374
L1,4,38,0.5969,0.299093
L1,5,36,0.6207,0.27794
L2,1,36,0.2922,0.420913
L2,2,36,0.4743,0.361534
L2,3,47,0.5629,0.313694
L2,4,38,0.6039,0.282665
L2,5,37,0.6318,0.260989
L1+L2,1,40,0.3692,0.407827
L1+L2,2,32,0.4876,0.36483
L1+L2,3,33,0.5338,0.334496
L1+L2,4,38,0.5657,0.311176
L1+L2,5,34,0.5945,0.292204
